run_id,commit_sha,scene_id,method,seed,validator_version,runtime,robot,controller,status,report_path,notes
LOCAL-0001,,three-fixture-suite,validator-grounded-fixed-tools,0,0.2.0,cpu,unitree_g1,not_applicable,complete,generated/local-pipeline/reports/cpu-benchmark.json,Implementation check only; 105 cases
B0-CPU-0001,e48dccc,held-out-suite,direct-conversion,0,0.2.0,cpu,unitree_g1,not_applicable,complete,/home/seu-zheng/research/construction-scene-ready/generated/detection-repair/B-CPU-DETREp-0001/summary.json,Frozen baseline protocol
B1-CPU-0001,e48dccc,held-out-suite,fixed-rule-repair,0,0.2.0,cpu,unitree_g1,not_applicable,complete,/home/seu-zheng/research/construction-scene-ready/generated/detection-repair/B-CPU-DETREp-0001/summary.json,Frozen baseline protocol
B2-CPU-0001,7a266c8,held-out-suite,unconstrained-agent,0,0.2.0,cpu,unitree_g1,not_applicable,complete,generated/llm-repair/comparison.json,"Model frozen: Qwen/Qwen2.5-Coder-14B-Instruct-AWQ (self-hosted vLLM, ~/llm_models/qwen25-coder-14b-instruct-awq, port 8399); prompts B2_SYSTEM@1; seeds 0-4; run B-CPU-LLM-0001"
B3-CPU-0001,7a266c8,held-out-suite,validator-grounded-agent,0,0.2.0,cpu,unitree_g1,not_applicable,complete,generated/llm-repair/comparison.json,"Model frozen: Qwen/Qwen2.5-Coder-14B-Instruct-AWQ (self-hosted vLLM, port 8399); prompts B3_SYSTEM@1; seeds 0-4; run B-CPU-LLM-0001"
RTX-0001,,held-out-suite,validator-grounded-agent,0,0.2.0,isaac-sim,unitree_g1,whole-body,planned,,"fixed_base level populated: task_outcomes.csv (rl-insertion-policy, seeds 42/123); whole-body level pending"
A1-CPU-0001,6882583,held-out-suite,ablation-no-provenance,0,0.2.0,cpu,unitree_g1,not_applicable,complete,generated/detection-repair/B-CPU-DETREp-0001/summary.json,Ablation A1 per baseline-protocol
A2-CPU-0001,6882583,held-out-suite,ablation-no-task-validator,0,0.2.0,cpu,unitree_g1,not_applicable,complete,generated/detection-repair/B-CPU-DETREp-0001/summary.json,Ablation A2 per baseline-protocol
A4-CPU-0001,6882583,held-out-suite,ablation-fixed-repair-order,0,0.2.0,cpu,unitree_g1,not_applicable,complete,generated/detection-repair/B-CPU-DETREp-0001/summary.json,Ablation A4; identical to B1 by one-to-one whitelist
A3-CPU-RES-0001,6882583,held-out-suite,ablation-all-layers-loaded,0,0.2.0,cpu,unitree_g1,not_applicable,complete,generated/resource-efficiency/A3-CPU-RES-0001/report.json,Ablation A3 resource use; resource_efficiency.csv
H4-LINK-0001,6882583,held-out-suite,rl-insertion-policy,0,0.2.0,isaac-sim,unitree_g1,whole-body,complete,generated/readiness-task-link/report.json,Readiness vs humanoid success; task_outcomes.csv; seeds 42/123
R-GEO-0042,54817c7,g1_steel_bolt_insertion,rl-insertion-policy-simultaneous-geo,42,0.2.0,isaac-sim,unitree_g1,fixed-base,complete,data/results/task_outcomes.csv,"Simultaneous reward+geometric-valid evaluator (eval_defect_geo.py); 14 conditions x 200 paired episodes; ckpt model_16746.pt; ledgers logs/defects_geo"
R-GEO-0123,54817c7,g1_steel_bolt_insertion,rl-insertion-policy-simultaneous-geo,123,0.2.0,isaac-sim,unitree_g1,fixed-base,complete,data/results/task_outcomes.csv,"Independent seed replication of R-GEO-0042; ledgers logs/defects_geo_s123"
R-REPAIR-GEO-0001,54817c7,g1_steel_bolt_insertion,rl-insertion-policy-repair-closure,42,0.3.0,isaac-sim,unitree_g1,fixed-base,complete,data/results/repair_closure_fault_s42.jsonl,"Correct/fault/repaired paired batch (200 eps each); repair applied at episode start before first policy action; ledgers data/results/repair_closure_*_s42.jsonl"
V030-CPU-0001,54817c7,variant-2-suite,contract-v030-independent-test,0,0.3.0,cpu,unitree_g1,not_applicable,complete,generated/contract-v030/report.json,"SCN-031/032 detection on held-out variant index 2; v0.2.0 blindness confirmed; pristine no false positives"
