reference_id,year,venue,doi_or_url,research_strand,ifc_bim_input,robot_or_sim_output,physics_attributes,construction_semantics,multiscale_scene,scene_level_validation,runtime_task_validation,provenance_uncertainty,agent_repair,novelty_boundary_for_this_study
Vaha2013,2013,Automation in Construction,10.1016/j.autcon.2013.08.002,construction robotics review,no,review,review,review,no,no,no,no,no,"Sensing and integrated product information were established as automation enablers"
Bock2015,2015,Automation in Construction,10.1016/j.autcon.2015.07.022,construction robotics review,no,review,review,review,no,no,no,no,no,"Do not present robotics in construction as a newly emerging application"
Ardiny2015,2015,ICROM,10.1109/ICRoM.2015.7367821,mobile construction robot review,no,review,partial,site tasks,no,no,no,no,no,"Mobile construction robot challenges and taxonomy already reviewed"
DavilaDelgado2019,2019,Journal of Building Engineering,10.1016/j.jobe.2019.100868,adoption review,no,review,no,industry constraints,no,no,no,no,no,"Deployment barriers extend beyond representation and simulation"
Petersen2019,2019,Science Robotics,10.1126/scirobotics.aau8479,collective construction review,no,review,partial,collective building,no,no,no,no,no,"Collective robotic construction is outside the present single-humanoid scope"
Dawod2019,2019,Construction Robotics,10.1007/s41693-019-00021-9,BIM robotic assembly,yes,recognition grasp and motion planning,partial,design context,no,no,yes,no,no,"BIM-assisted autonomous assembly already demonstrated"
Ding2020,2020,Advanced Engineering Informatics,10.1016/j.aei.2019.100993,BIM robotic assembly,yes,brick task planning,partial,task sequence,no,no,yes,no,no,"Do not claim first BIM-based task-level assembly planning"
Melenbrink2020,2020,Automation in Construction,10.1016/j.autcon.2020.103312,on-site robotics review,no,review,partial,on-site building,no,no,no,no,no,"Unsupervised on-site construction remains a wider objective"
Boje2020,2020,Automation in Construction,10.1016/j.autcon.2020.103179,semantic digital twin,yes,construction twin,partial,lifecycle semantics,multiple views,no,runtime,partial,no,"Semantic construction twin theory predates the proposed executable scene gate"
Sacks2020,2020,Data-Centric Engineering,10.1017/dce.2020.16,digital twin control,yes,closed-loop production twin,partial,production state,multiple views,no,runtime,yes,no,"Closed-loop construction twin control already formulated"
Kim2021,2021,Automation in Construction,10.1016/j.autcon.2021.103720,BIM robot simulation,yes,SDF and ROS simulation,partial,task planning,no,no,yes,no,no,"BIM-to-SDF robot task planning already established"
